temperature,ph,dissolved_oxygen,fish_density,risk
25,6.96,4.72,medium,low
30,7.96,7.68,high,low
34,5.55,7.84,low,high
34,7.87,6.86,high,high
28,5.29,6.73,low,high
31,5.57,6.18,high,high
30,7.38,3.23,low,high
34,6.64,7.62,medium,high
35,6.57,7.82,high,high
32,7.52,5.8,high,low
29,6.07,2.37,high,high
35,7.02,3.84,medium,high
25,7.49,5.62,low,low
27,7.94,7.46,low,low
31,5.25,4.12,medium,high
26,7.53,6.73,high,low
25,7.73,6.82,high,low
33,6.38,4.37,high,high
25,5.82,6.1,high,high
30,7.41,5.63,medium,low
27,5.8,3.52,low,high
31,7.98,7.54,high,low
30,7.17,3.35,medium,high
35,5.35,6.62,high,high
26,6.77,2.88,medium,high
35,6.64,3.83,high,high
30,7.19,6.72,medium,low
31,7.45,7.91,high,low
30,5.43,3.37,low,high
28,5.67,4.33,medium,high
26,6.18,5.43,high,low
29,6.42,7.49,medium,low
25,6.89,3.3,low,high
34,6.89,6.91,medium,high
28,6.64,7.66,high,low
31,6.68,4.98,medium,low
30,7.82,7.48,high,low
31,5.02,7.95,low,high
34,7.63,2.31,medium,high
28,6.01,5.49,low,low
34,7.93,6.87,low,high
33,6.63,3.43,high,high
25,6.03,7.56,low,low
35,7.74,3.71,high,high
34,6.83,2.72,medium,high
28,5.14,7.0,medium,high
25,5.81,5.74,medium,high
26,7.42,2.19,medium,high
26,7.05,4.08,medium,low
35,6.53,7.02,low,high
34,5.18,6.66,low,high
27,5.55,5.4,high,high
32,5.17,6.39,low,high
31,7.74,2.34,low,high
30,5.49,3.75,low,high
34,7.47,3.38,high,high
25,7.7,4.22,medium,low
35,6.18,4.05,medium,high
35,7.26,2.23,high,high
35,5.39,2.39,high,high
27,7.76,7.57,medium,low
32,7.7,4.86,low,low
27,5.3,7.61,low,high
28,7.37,5.53,high,low
29,5.7,3.58,low,high
35,6.25,3.26,low,high
33,6.65,4.39,high,high
32,5.74,2.32,medium,high
35,5.9,6.22,high,high
30,5.51,3.96,medium,high
29,7.13,5.72,medium,low
25,7.64,2.09,low,high
26,6.07,3.04,medium,high
35,6.1,5.54,low,high
27,7.01,5.94,low,low
29,7.11,3.63,high,high
26,7.36,6.62,low,low
33,6.07,2.55,low,high
25,5.19,4.02,medium,high
30,7.75,2.4,low,high
27,7.69,5.75,medium,low
26,5.36,6.06,high,high
27,6.37,7.94,high,low
30,5.73,5.74,medium,high
25,6.68,6.28,medium,low
28,6.98,3.44,low,high
31,5.77,6.96,medium,high
25,7.0,3.5,low,high
31,6.35,2.95,high,high
28,7.39,2.19,low,high
32,6.05,3.05,medium,high
34,5.52,2.91,high,high
25,5.24,2.88,low,high
28,5.5,6.23,low,high
35,5.95,5.75,low,high
35,5.59,2.25,high,high
28,7.94,7.51,medium,low
31,6.96,7.62,low,low
25,7.22,4.69,low,low
26,6.03,7.45,low,low
27,5.07,5.39,medium,high
30,5.1,5.39,high,high
29,5.92,3.36,medium,high
30,5.2,6.54,low,high
33,6.22,4.44,high,high
28,7.14,7.05,high,low
26,7.65,7.0,medium,low
32,6.96,3.58,low,high
29,7.99,4.01,low,low
27,6.16,2.29,low,high
32,7.81,6.18,medium,low
25,6.87,2.17,high,high
32,7.43,5.87,high,low
35,5.16,4.04,medium,high
32,5.6,6.63,high,high
29,5.7,4.37,low,high
27,7.94,3.7,medium,high
35,6.93,7.01,medium,high
34,7.18,5.91,high,high
31,5.78,2.45,medium,high
29,5.48,4.16,low,high
31,5.24,5.44,low,high
25,5.85,5.29,medium,high
29,6.05,6.37,high,low
27,5.79,4.13,medium,high
28,5.28,7.09,high,high
29,6.78,4.81,high,low
32,6.27,4.83,low,low
26,6.87,5.44,low,low
26,6.89,7.86,low,low
26,7.48,7.44,medium,low
26,7.15,5.87,high,low
25,7.25,4.06,low,low
29,6.6,2.81,low,high
30,6.82,3.65,low,high
28,6.2,7.1,medium,low
28,5.7,5.42,low,high
34,7.2,3.86,medium,high
33,7.71,3.63,medium,high
30,7.81,3.82,low,high
34,7.47,5.86,high,high
29,6.89,4.68,low,low
27,5.04,5.55,medium,high
32,6.64,2.92,high,high
29,6.26,6.14,low,low
33,5.15,3.02,medium,high
29,5.38,7.54,low,high
25,6.54,4.38,low,low
26,6.0,3.51,high,high
25,6.39,3.53,medium,high
28,5.81,6.25,high,high
30,5.47,6.79,medium,high
30,7.06,4.74,medium,low
34,6.77,3.38,medium,high
34,7.63,2.61,high,high
34,5.91,6.38,high,high
29,6.48,4.32,medium,low
34,6.69,6.93,medium,high
32,5.86,3.18,low,high
25,7.78,7.34,low,low
32,7.15,7.66,medium,low
29,5.23,6.73,low,high
34,6.64,4.3,high,high
35,7.85,2.44,medium,high
25,7.76,2.39,medium,high
31,7.46,4.87,low,low
30,6.65,5.19,high,low
26,7.19,4.72,low,low
34,5.33,7.58,low,high
32,6.65,4.17,high,low
30,6.52,5.12,low,low
34,5.93,6.74,low,high
34,7.04,3.41,low,high
31,6.03,4.87,high,low
35,7.97,7.89,high,high
31,5.2,5.39,high,high
26,6.58,7.32,medium,low
27,5.49,2.43,low,high
34,5.41,7.77,high,high
33,6.12,4.64,medium,high
33,6.09,5.98,high,high
35,5.09,2.8,medium,high
29,5.06,5.38,low,high
35,7.21,3.57,low,high
29,7.62,4.1,high,low
33,7.57,7.88,high,high
26,6.13,2.54,low,high
29,6.25,2.32,high,high
34,6.19,5.18,high,high
35,6.82,5.43,medium,high
32,7.91,3.09,high,high
31,7.05,7.13,low,low
35,5.45,7.1,low,high
32,7.65,6.03,medium,low
29,5.15,7.68,low,high
27,7.67,3.08,high,high
32,6.11,3.97,medium,high
28,6.19,7.69,high,low
27,6.04,2.95,medium,high
35,6.44,5.4,low,high
29,6.18,6.04,high,low
32,6.74,5.26,medium,low
28,5.7,7.98,low,high
26,5.19,3.1,high,high
35,7.01,3.1,high,high
34,7.58,6.08,medium,high
25,7.48,7.07,high,low
28,6.33,5.31,high,low
26,6.21,2.45,medium,high
28,6.35,4.39,medium,low
28,5.09,4.81,low,high
33,5.14,6.64,high,high
32,6.74,3.18,low,high
31,7.47,5.21,high,low
25,5.35,2.58,medium,high
34,7.08,6.54,high,high
31,6.25,7.11,high,low
35,7.14,4.93,low,high
26,5.14,4.44,high,high
30,5.44,6.18,high,high
33,5.8,7.02,medium,high
32,6.38,7.56,high,low
30,7.64,7.8,low,low
27,6.26,5.01,high,low
32,7.37,6.29,medium,low
29,5.73,3.68,low,high
34,6.28,2.77,medium,high
32,7.03,7.39,high,low
34,5.7,7.8,low,high
35,7.45,2.51,medium,high
35,7.02,3.16,high,high
34,6.99,4.84,high,high
30,7.71,2.44,medium,high
28,7.64,7.05,high,low
35,7.95,6.92,low,high
35,6.7,6.02,low,high
35,7.24,5.99,medium,high
32,6.24,2.82,medium,high
28,5.15,6.43,low,high
32,6.27,6.22,low,low
31,7.17,6.81,low,low
26,7.96,5.24,medium,low
34,7.15,6.95,low,high
33,7.76,2.43,high,high
29,5.69,2.03,high,high
32,5.26,5.68,low,high
27,5.42,5.81,high,high
35,7.28,7.45,high,high
29,5.48,4.0,medium,high
33,7.08,3.44,medium,high
25,7.02,4.07,low,low
26,7.55,5.05,low,low
34,6.18,3.66,medium,high
30,6.32,5.22,high,low
27,6.42,6.6,low,low
29,5.75,6.86,medium,high
26,7.86,2.53,low,high
29,5.8,2.75,medium,high
35,7.14,7.99,low,high
32,5.87,7.67,low,high
29,5.21,6.19,medium,high
33,7.59,5.83,low,high
33,7.68,2.38,medium,high
28,6.86,6.93,low,low
35,6.6,6.39,high,high
29,7.68,4.3,high,low
31,6.28,4.86,high,low
33,5.77,7.85,medium,high
27,6.89,5.17,medium,low
33,6.24,2.52,low,high
30,6.55,3.17,high,high
28,6.17,6.23,low,low
35,5.24,7.1,low,high
34,5.41,4.34,medium,high
26,5.31,5.42,low,high
35,6.39,3.54,high,high
26,5.15,5.74,low,high
27,7.03,3.96,high,high
28,6.04,7.89,medium,low
31,7.81,2.7,medium,high
27,6.9,5.39,low,low
30,5.51,7.95,high,high
34,5.94,5.61,low,high
31,7.6,7.71,high,low
30,6.79,6.37,medium,low
33,5.45,5.63,high,high
28,6.92,2.73,high,high
32,6.42,3.83,low,high
28,5.28,6.78,medium,high
31,5.02,2.67,low,high
29,6.38,7.53,medium,low
28,7.66,2.39,low,high
25,7.23,7.04,high,low
30,6.93,5.78,medium,low
28,7.2,3.31,high,high
29,6.88,5.82,low,low
30,6.49,7.65,high,low
25,6.62,3.95,medium,high
29,5.04,3.08,high,high
26,5.81,2.07,low,high
33,5.63,3.74,medium,high
26,7.75,2.1,low,high
34,5.04,3.37,medium,high
29,6.33,2.03,medium,high
33,7.86,4.22,high,high
29,7.31,7.92,high,low
26,6.82,5.44,high,low
25,6.16,2.3,medium,high
28,6.83,5.07,high,low
31,7.25,3.35,high,high
28,7.31,7.13,medium,low
32,5.59,7.84,low,high
32,6.85,5.36,high,low
31,6.36,4.75,medium,low
27,5.0,7.25,low,high
35,7.3,3.24,medium,high
31,7.65,5.52,medium,low
29,5.61,4.37,medium,high
30,7.56,7.25,low,low
29,5.39,7.6,low,high
27,5.53,4.88,low,high
28,6.73,7.1,high,low
25,7.75,3.96,low,high
27,5.79,7.73,high,high
25,5.54,7.26,high,high
26,5.38,3.63,low,high
33,7.94,2.92,medium,high
31,7.78,6.86,medium,low
32,7.78,6.37,medium,low
27,5.52,3.49,high,high
31,6.58,6.68,medium,low
35,7.32,7.48,low,high
30,5.38,5.3,low,high
28,7.54,4.7,medium,low
28,6.03,3.43,high,high
32,6.59,7.15,low,low
25,5.03,6.86,low,high
33,6.49,2.28,medium,high
28,6.5,4.22,high,low
35,7.51,5.41,medium,high
35,5.59,5.29,low,high
31,6.31,3.32,medium,high
33,7.93,3.64,high,high
29,5.53,6.99,medium,high
30,6.69,3.16,medium,high
25,7.71,6.29,medium,low
29,6.07,3.76,low,high
29,5.7,3.88,high,high
32,7.1,2.67,low,high
25,5.47,4.45,high,high
31,6.79,2.55,high,high
34,7.8,4.83,low,high
32,6.87,5.44,high,low
31,7.84,7.63,medium,low
34,7.57,5.63,medium,high
28,7.94,6.12,low,low
33,5.93,4.42,low,high
26,6.4,2.36,medium,high
31,5.48,5.19,medium,high
34,5.89,7.16,medium,high
34,7.55,3.49,high,high
34,6.35,2.13,low,high
28,7.26,2.92,medium,high
30,7.32,6.89,low,low
25,6.48,3.32,medium,high
34,6.4,4.01,high,high
28,6.62,7.32,high,low
35,5.52,6.04,high,high
26,7.88,4.76,low,low
29,5.77,6.91,medium,high
26,7.53,2.79,medium,high
29,6.69,3.95,high,high
30,7.09,2.66,medium,high
27,5.23,7.61,medium,high
32,7.32,4.11,high,low
32,7.03,7.17,high,low
25,6.32,5.4,high,low
28,6.49,5.87,high,low
28,5.77,6.05,high,high
27,5.59,4.07,high,high
26,6.79,7.64,high,low
30,6.72,4.57,high,low
28,6.93,2.92,medium,high
30,7.46,4.03,high,low
33,7.43,6.9,medium,high
32,7.29,6.1,medium,low
30,5.74,7.02,medium,high
25,5.34,7.76,high,high
25,7.9,7.84,high,low
29,5.01,5.28,low,high
26,5.39,2.93,medium,high
30,7.0,6.8,high,low
31,7.13,6.91,medium,low
32,7.99,4.93,high,low
32,7.34,4.78,medium,low
34,6.58,5.23,high,high
26,6.79,6.71,high,low
32,7.13,7.4,low,low
29,5.53,5.94,medium,high
26,5.63,6.98,low,high
32,6.19,3.61,low,high
35,6.15,4.88,medium,high
26,6.16,7.95,medium,low
33,6.09,4.79,medium,high
29,6.99,6.45,high,low
27,5.21,3.92,medium,high
35,7.85,4.38,high,high
28,6.93,5.57,high,low
31,5.51,3.99,high,high
26,6.72,6.38,high,low
28,6.51,3.31,high,high
27,7.82,4.04,medium,low
28,5.99,3.28,high,high
35,5.44,3.1,low,high
29,7.7,4.3,medium,low
29,7.98,5.94,low,low
34,6.64,4.26,high,high
33,5.98,7.48,high,high
25,7.59,5.62,medium,low
28,5.89,2.83,medium,high
27,7.8,2.07,low,high
31,7.29,6.58,high,low
34,5.82,4.58,high,high
34,7.87,4.81,low,high
32,6.58,6.66,high,low
27,7.96,2.86,medium,high
26,5.46,6.78,high,high
32,6.14,5.89,high,low
25,7.4,2.27,low,high
31,6.88,7.96,low,low
25,5.13,3.61,low,high
32,6.13,2.53,high,high
35,6.5,5.27,medium,high
28,7.48,5.8,medium,low
27,7.44,7.24,high,low
30,6.57,7.88,medium,low
28,6.93,5.62,low,low
28,7.71,2.29,medium,high
25,5.44,5.4,high,high
35,5.88,3.04,medium,high
29,7.11,2.99,medium,high
29,7.66,7.65,low,low
26,6.35,3.51,high,high
33,7.06,3.65,medium,high
31,6.38,6.4,medium,low
26,7.45,2.95,medium,high
32,5.47,6.84,high,high
35,5.88,7.23,low,high
26,6.16,6.38,high,low
29,5.44,3.38,medium,high
34,5.02,7.18,medium,high
31,5.34,7.92,medium,high
28,5.62,6.97,medium,high
33,5.31,5.31,low,high
34,7.07,5.36,medium,high
35,7.03,2.91,medium,high
31,5.88,3.38,high,high
29,5.76,3.31,low,high
28,7.54,6.43,medium,low
28,6.13,6.86,medium,low
26,5.02,7.37,medium,high
25,5.11,3.38,medium,high
25,6.52,4.68,high,low
32,7.13,4.0,high,low
26,7.47,6.71,medium,low
25,7.51,2.95,high,high
35,5.8,4.08,low,high
35,7.73,4.3,medium,high
34,7.94,3.55,medium,high
34,7.65,4.79,high,high
30,5.58,4.61,low,high
25,5.4,2.73,high,high
26,5.46,3.8,low,high
30,5.04,4.51,high,high
25,5.08,6.57,medium,high
32,5.1,4.33,high,high
33,5.43,2.79,low,high
31,7.4,5.3,low,low
33,5.52,5.1,medium,high
25,5.53,4.41,low,high
34,6.56,7.09,high,high
27,6.56,7.8,medium,low
35,7.54,4.01,low,high
27,7.81,6.5,low,low
27,5.41,2.7,medium,high
35,7.73,2.56,high,high
32,6.66,6.43,medium,low
28,5.68,2.8,medium,high
31,7.48,2.93,low,high
34,7.17,2.79,high,high
34,7.37,3.28,low,high
35,7.73,5.93,low,high
27,5.77,5.03,medium,high
25,7.64,7.82,low,low
25,7.39,6.63,medium,low
26,7.92,5.27,medium,low
34,6.86,6.5,low,high
31,5.05,7.12,high,high
32,7.4,7.26,high,low
32,5.14,5.82,high,high
